ticker,date,total_revenue,cost_of_revenue,gross_profit,operating_expense,operating_income,net_non_operating_interest_income_expense,other_income_expense,pretax_income,tax_provision,net_income_common_stockholders,diluted_ni_available_to_com_stockholders,basic_eps,diluted_eps,basic_average_shares,diluted_average_shares,total_operating_income_as_reported,total_expenses,net_income_from_continuing_&_discontinued_operation,normalized_income,interest_income,interest_expense,net_interest_income,ebit,ebitda,reconciled_cost_of_revenue,reconciled_depreciation,net_income_from_continuing_operation_net_minority_interest,normalized_ebitda,tax_rate_for_calcs,total_unusual_items_excluding_goodwill,total_unusual_items,tax_effect_of_unusual_items,rent_expense_supplemental,average_dilution_earnings,credit_losses_provision,non_interest_expense,special_income_charges,interest_income_after_provision_for_loan_loss,total_money_market_investments,earnings_from_equity_interest_net_of_tax,income_from_associates_&_other_participating_interests,other_non_operating_income_expenses
EYE,TTM,2177092.0,1029687.0,1147405.0,1118512.0,28893.0,-15474.0,-97155.0,-83736.0,-1822.0,-15895.0,-15895.0,-0.21,-0.21,78470.5,78470.5,-68522.0,2148199.0,-15895.0,13127.02,,15474.0,-15474.0,-68262.0,32072.0,1032814.0,97207.0,-81914.0,129227.0,0.0,-97155.0,-97155.0,-2113.98,,,,,,,,,,
EYEN,TTM,31.405,697.175,-665.77,35276.139,-35941.909,-2119.13,779.368,-37281.671,,-37281.67,-37281.67,-0.78,-0.78,47088.26,47088.26,-35941.908,35973.314,-37281.67,-38522.47,593.374,2712.504,-2119.13,-34569.167,-33430.102,697.175,1139.065,-37281.67,-34670.902,,1240.8,1240.8,,,,,,,,,,,
EYPT,TTM,50391.0,4360.0,46031.0,144650.0,-98619.0,11881.0,,-86738.0,,-86821.0,-86821.0,-1.78,-1.78,46668.0,46668.0,-98619.0,149010.0,-86821.0,-86821.0,11881.0,,11881.0,-86738.0,-85846.0,4360.0,892.0,-86821.0,-85846.0,,,,,,,,,,,,,,
EZFL,TTM,25849.825,24113.285,1736.54,8914.697,-7178.157,-4241.992,505.487,-10914.662,,-10914.662,-10914.662,-6.22,-6.22,1763.012,1763.012,-7178.157,33027.982,-10914.662,-10887.502,11.706,4253.698,-4241.992,-6660.964,-5265.288,23815.991,1395.676,-10914.662,-5238.128,,-27.16,-27.16,,,,,,,,,,,
EZGO,TTM,15920.659,14781.26,1139.399,5931.477,-4792.078,109.541,-2638.796,-7321.333,-62.447,-6783.086,-6783.086,-6.00,-6.00,1147.045,1147.045,-4792.078,20712.737,-6783.086,-4401.4438,,,109.541,-4792.078,-3609.104,14781.26,1182.974,-6783.659,-1202.826,0.0,-2406.278,-2406.278,-24.0628,,,,,,,,,,
EZPW,TTM,1137530.0,471264.0,666266.0,563907.0,102359.0,-3067.0,3189.0,102481.0,24329.0,78152.0,88095.0,1.41,1.20,55020.5,84427.5,103082.0,1035171.0,78152.0,81487.61,10776.0,13843.0,-3067.0,116324.0,206357.0,414327.0,90033.0,78152.0,210731.0,0.0,-4374.0,-4374.0,-1038.39,,9943.0,,,,,,,,
F,TTM,182743000.0,168715000.0,14028000.0,10285000.0,3743000.0,363000.0,-1054000.0,3052000.0,-488000.0,3529000.0,3529000.0,0.89,0.88,3983750.0,4026000.0,3743000.0,179000000.0,3529000.0,3562970.0,1577000.0,1214000.0,363000.0,4266000.0,10381000.0,168715000.0,6115000.0,3529000.0,10424000.0,0.0,-43000.0,-43000.0,-9030.0,,,,,,,,,,
FA,TTM,756888.0,382259.0,374629.0,312860.0,61769.0,-31395.0,,30374.0,5835.0,24539.0,24539.0,0.17,0.17,143456.38,144642.51,61769.0,695119.0,24539.0,24539.0,,31395.0,-31395.0,61769.0,187120.0,382259.0,125351.0,24539.0,187120.0,0.0,,,,,,,,,,,,,
FAAS,TTM,,,,2074.824,-2074.824,2011.261,,-63.563,,-63.563,-63.563,-0.11,-0.11,56050.0,56050.0,-2074.824,2074.824,-63.563,-63.563,2011.261,,2011.261,-2074.824,-2074.824,,,-63.563,-2074.824,,,,,,,,,,,,,,
FAF,TTM,5866900.0,,,,,,,103900.0,9900.0,92800.0,92800.0,0.89,0.88,103925.0,104300.0,,5763000.0,92800.0,92800.0,,139200.0,,243100.0,,,205000.0,92800.0,,0.0,,,,,,,,,,,,,
