ticker,date,total_revenue,cost_of_revenue,gross_profit,operating_expense,operating_income,net_non_operating_interest_income_expense,other_income_expense,pretax_income,tax_provision,net_income_common_stockholders,diluted_ni_available_to_com_stockholders,basic_eps,diluted_eps,basic_average_shares,diluted_average_shares,total_operating_income_as_reported,total_expenses,net_income_from_continuing_&_discontinued_operation,normalized_income,interest_income,interest_expense,net_interest_income,ebit,ebitda,reconciled_cost_of_revenue,reconciled_depreciation,net_income_from_continuing_operation_net_minority_interest,normalized_ebitda,tax_rate_for_calcs,total_unusual_items_excluding_goodwill,total_unusual_items,tax_effect_of_unusual_items,rent_expense_supplemental,average_dilution_earnings,credit_losses_provision,non_interest_expense,special_income_charges,interest_income_after_provision_for_loan_loss,total_money_market_investments,earnings_from_equity_interest_net_of_tax,income_from_associates_&_other_participating_interests
A,TTM,6497000,2963000,3534000,2046000,1488000,-13000,65000,1540000,127000,1413000,1413000,4.84,4.81,291750,293750,1488000,5009000,1413000,1413000,73000,86000,-13000,1626000,1876000,2963000,250000,1413000,1876000,0,,,,,,,,,,,,
AA,TTM,11004000,9755000,1249000,1027000,222000,-139000,-209000,-126000,279000,-292000,-292000,-1.56,-1.56,192250,192250,,10782000,-292000,-152960,,139000,-139000,13000,659000,9755000,646000,-292000,835000,0,-176000,-176000,-36960,,,,,,,,,
AACT,TTM,,,,1644.24,-1644.24,,27972.82,26328.58,,26328.58,26328.58,0.46,0.46,62629.42,62629.42,-1644.24,1644.24,26328.58,4230.05,,,,-1644.24,-1644.24,,,26328.58,-29617.06,0,27972.82,27972.82,5874.29,,,,,,,,,
AADI,TTM,25070,3161,21909,85494,-63585,4538,-2640,-61687,,-61687,-61687,-2.28,-2.28,26999.7030,26999.7030,-66223,88655,-61687,-59047,4749,211,4538,-61476,-61286,3161,190,-61687,-58646,,-2640,-2640,,,,,,,,,,
AAL,TTM,53613000,42708000,10905000,8135000,2770000,-1485000,-894000,391000,116000,275000,242000,0.42,0.42,656240,673783.25,2136000,50843000,275000,720907.93,498000,1983000,-1485000,2374000,2374000,42708000,,275000,3008000,0,-634000,-634000,-188092.07,4511000,,,,,,,,
AAME,TTM,186001,,,,,,,-4319,-1168,-3550,-3550,-0.17,-0.17,20401.5000,20401.5000,,190320,-3151,-3151,,3434,,-885,,,533,-3151,,0.0003,,,,,,,,,,,,
AAOI,TTM,206944,148012,58932,117607,-58675,-7593,-5827,-72095,1,-72096,-72096,-1.88,-1.88,36785.15,36785.15,-59106,265619,-72096,-72514.70,892,8485,-7593,-63610,-43643,148012,19967,-72096,-44173,0,530,530,111.30,,,,,,,,,
AAON,TTM,1209555,778322,431233,187675,243558,-2581,481,241458,50540,190918,190918,2.35,2.28,81387.07,83523.88,243573,965997,190918,190906.14,,2581,-2581,244039,302544,737737,58505,190918,302529,0,15,15,3.14,,,,,,,,,
AAP,TTM,11273255,6808752,4464503,4416251,48252,-81011,12236,-20523,-8361,-12162,-12162,-0.21,-0.21,59535,59757,48252,11225003,-12162,-12162,,81011,-81011,60488,371411,6808752,310923,-12162,371411,0,,,,,,,,,,,,
AAPL,TTM,391035000,210352000,180683000,57467000,123216000,,269000,123485000,29749000,93736000,93736000,6.11,6.08,15343783,15408095,123216000,267819000,93736000,93736000,,,,123216000,134661000,210352000,11445000,93736000,134661000,0,,,,,,,,,,,,
ABAT,TTM,343.5000,3304.7070,-2961.2070,34554.4290,-37515.6360,-4353.0490,-10633.1390,-52501.8240,,-52501.8240,-52501.8240,-1.02,-1.02,51243.1060,51243.1060,,37859.1360,-52501.8240,-41846.4040,,158.0780,-4353.0490,-52343.7460,-50563.9650,3304.7070,1779.7810,-52501.8240,-39908.5450,,-10655.4200,-10655.4200,,,,,,,,,,
ABBV,TTM,55533000,18212000,37321000,22812000,14509000,-1928000,-5384000,7197000,2064000,5081000,5081000,2.87,2.87,1768750,1773000,13822000,41024000,5122000,5648351.81,742000,2670000,-1928000,9867000,18227000,18212000,8360000,5122000,18965000,0,-738000,-738000,-211648.19,,,,,,,,,
ABCB,TTM,1063644,,,,,,,419365,108219,311146,311146,4.52,4.50,68844.39,69013.41,,,311146,311146,,,,,,,47750,311146,,0,,,,,,-87289,556990,,739872,50150,,
ABCL,TTM,32962,,,327574,-294612,40774,51670,-202168,-26371,-175797,-175797,-0.61,-0.61,293051.7220,293051.7220,-308064,327574,-175797,-175797,40774,,40774,-294612,-202405,,92207,-175797,-202405,0.0001,,,,,,,,,,,,
ABEO,TTM,,30,-30,56707,-56737,1132,3006,-52599,,-52599,-52599,-1.77,-1.77,29479.92,29479.92,-56737,56737,-52599,-54894,3370,2238,1132,-50361,-47480,30,2881,-52599,-49775,,2295,2295,,,,,,,,,,
ABG,TTM,16495700,13624100,2871800,1898700,973100,-249900,-244000,479200,122200,357000,357000,17.88,17.82,20225,20250,720500,15522800,357000,538777.96,,249900,-249900,729100,802100,13624200,72900,357000,1046100,0,-244000,-244000,-62222.04,132400,,,,,,,,
ABL,TTM,95379.76,10491.86,84887.91,65930.92,18956.98,-15476.36,-5546.55,-2065.93,3871.65,-5897.78,-6106.42,-0.13,-0.14,63275.89,64099.54,17317.68,76422.78,-5897.78,-4558.96,1648.64,17125,-15476.36,15059.07,21899.36,10491.86,6840.29,-5897.78,23594.08,0,-1694.72,-1694.72,-355.89,,,,,,,,,
ABLV,TTM,148999.8190,111990.5540,37009.2650,23688.2440,13321.0210,-842.2460,-787.8770,11690.8980,1940.8520,9441.3450,9441.3450,0.24,0.24,39454.9970,39454.9970,13321.0210,135678.7980,9750.0460,10452.5307,,842.2460,-842.2460,12533.1440,13413.5620,111990.5540,880.4180,9750.0460,14256.8810,0.0002,-843.3190,-843.3190,-140.8343,827.2880,,,,,,,,
ABM,TTM,8274900,,,7975800,299100,-83600,5600,221300,65300,155900,155900,2.44,2.42,63750,63975,299200,7975800,155900,155900,,83600,-83600,304900,413800,,108900,155900,413800,0,,,,,,,,,,,,
ABNB,TTM,10840000,1835000,9005000,7378000,1627000,744000,-45000,2326000,488000,1838000,1838000,2.89,2.88,635500,649250,1627000,9213000,1838000,1838000,827000,,744000,2294000,2353000,1835000,59000,1838000,2353000,0,,,,,,,,,,,,
ABOS,TTM,,,,76680,-76680,12311,-495,-64864,,-64864,-64864,-1.11,-1.11,58069.7960,58069.7960,-76680,76680,-64864,-64554,14896,2585,12311,-62279,-62111,,168,-64864,-61801,,-310,-310,,,,,,,,,,
ABSI,TTM,3250,,,101511,-98261,-759,6850,-92170,94,-92264,-92264,-0.93,-0.93,99282.5820,99282.5820,-98261,101511,-92264,-92264,,759,-759,-91411,-77613,,13798,-92264,-77613,0.0002,,,,,,,,,,,,
ABT,TTM,41217000,18320000,22897000,16203000,6694000,-240000,324000,6778000,1011000,5767000,5767000,3.31,3.29,1740460.50,1748520,6694000,34523000,5767000,5772955.89,342000,582000,-240000,7360000,10584000,16990000,3224000,5767000,10591000,0,-7000,-7000,-1044.11,,,,,,,,,
ABTS,TTM,1681.5330,891.9190,789.6140,5908.2380,-5118.6240,-18.8510,-7447.7750,-12585.2500,,-12605.3030,-12605.3030,-0.35,-0.35,35554.6770,35554.6770,-11013.8710,6800.1570,-12585.2500,-5137.4750,,18.8510,-18.8510,-12566.3990,-7592.6700,891.9190,4973.7290,-12585.2500,-144.8950,,-7447.7750,-7447.7750,,,,,,,,,,
ABUS,TTM,6742,,,85288,-78546,6435,-4589,-76700,,-76700,-76700,-0.43,-0.43,180330.0610,180330.0610,-83133,85288,-76700,-72111,6586,151,6435,-76549,-75143,,1406,-76700,-70554,,-4589,-4589,,,,,,,,,,
ABVC,TTM,136.3960,169.2870,-32.8910,8504.6230,-8537.5140,-3157.7210,-192.8890,-11888.1240,63.4170,-11374.0710,-11374.0710,-1.66,-1.66,7946.5620,7946.5620,-8537.5140,8673.9100,-11374.0710,-11237.5772,108.9190,3266.6400,-3157.7210,-8621.4840,-8591.8520,169.2870,29.6320,-11374.0710,-8419.0750,0.0002,-172.7770,-172.7770,-36.2832,,,,,,,,,
ABVE,TTM,368423.3980,374322.1460,-5898.7480,33600.2850,-39499.0330,-7809.4290,-2215.8930,-49524.3550,,-53312.2820,-53312.2820,-2.06,-2.06,25824.9420,25824.9420,-42099.4610,407922.4310,-53312.2820,-51096.3890,245.2620,7670.1560,-7809.4290,-41854.1990,-38247.9150,373049.8310,3606.2840,-53312.2820,-36032.0220,,-2215.8930,-2215.8930,,2490.7180,,,,,,,-3787.9270,
AC,TTM,13442,17649,-4207,12780,-16987,27580,32763,43356,10199,33132,33132,1.54,1.54,21534,21534,-16987,30429,33132,5707.65,27940,360,27580,43716,44077,17649,361,33132,8217,0,35860,35860,8435.65,,,,,,,,,
ACA,TTM,2485900,1992600,493300,297600,195700,-36100,-3500,156100,27600,128100,128100,2.64,2.63,48575,48700,197200,2290200,128500,131463.48,6600,42700,-36100,198800,374100,1992600,175300,128500,377700,0,-3600,-3600,-636.52,,,,,,,,,
ACAB,TTM,,,,2242.90,-2242.90,1013.59,,-1229.31,210.14,-1439.45,-1439.45,-0.13,-0.13,9012.43,9448.48,-2242.90,2242.90,-1439.45,-1439.45,1155.63,,1013.59,3564.12,3564.12,,,-1439.45,3564.12,0,,,,,,,,,,,,
ACAD,TTM,929236,77929,851307,739072,112235,23210,1248,136693,8187,128506,128506,0.78,0.78,165285.25,165805,112235,817001,128506,128506,23210,,23210,112235,124541,77929,12306,128506,124541,0,,,,,,,,,,,,
ACB,TTM,296987,139237,157750,159895,-2145,3775,-33391,-31761,1007,-47426,-47426,-0.88,-0.88,52093.9100,54660.7770,-22722,299132,-47426,-11024.8000,12526,8751,3775,-23010,3772,122249,26782,-33509,30224,0.0002,-26452,-26452,-3967.8000,,,,,,,,,
ACCD,TTM,441028,228245,212783,306591,-93808,6701,8779,-78328,1769,-80097,-80097,-1.02,-1.02,77291.3160,77291.3160,-93808,534836,-80097,-80097,,,6701,-93808,-50073,228245,43735,-80097,-50073,0.0002,,,,,,,,,,,,
ACCO,TTM,1706700,1136800,569900,421800,148100,-47400,-293000,-192300,-10700,-181600,-181600,-1.90,-1.90,96050,96050,-131800,1558600,-181600,84425.59,7000,54400,-47400,-137900,-65300,1108100,72600,-181600,216400,0,-281700,-281700,-15674.41,,,,,,,,,
ACDC,TTM,2225300,1893900,331400,248700,82700,-156600,-162000,-235900,-33300,-208000,-203000,-1.46,-1.46,159850,159850,-27900,2142600,-208000,-80033.06,,156600,-156600,-79300,357300,1893900,436600,-208000,506300,0,-149000,-149000,-21033.06,,,,,,,,,
ACEL,TTM,1210525,845573,364952,269414,95538,-35328,-1667,58543,15658,42885,42885,0.51,0.51,84008.75,85204,95538,1114987,42885,44105.41,,35328,-35328,93871,158286,845573,64415,42885,159952,0,-1666,-1666,-445.59,,,,,,,,,
ACET,TTM,,,,128084,-128084,10612,-19819,-137291,,-137291,-137291,-2.52,-2.52,63987.8570,63987.8570,-147546,128084,-137291,-117829,10616,4,10612,-137287,-130700,,6587,-137291,-111238,,-19462,-19462,,,,,,,,,,
ACGL,TTM,16207000,,,,,,,4725000,-780000,5671000,5671000,15.29,14.90,371625,381050,,11482000,5711000,5711000,,138000,,4863000,,,160000,5711000,,0,,,,,,,,,,,205000,
ACHC,TTM,3122525,110833,3011692,2465856,545836,-106771,-55229,383836,93124,280726,280726,3.07,3.05,91488.25,91899.25,,2576689,280726,322555.67,,106771,-106771,490607,636041,110833,145434,280726,691270,0,-55229,-55229,-13399.33,47813,,,,,,,,
ACHR,TTM,,,,416900,-416900,21100,12300,-383500,600,-384100,-384100,-1.18,-1.18,309411.8780,309411.8780,-416900,416900,-384100,-384100,,,21100,-416900,-407600,,9300,-384100,-407600,0.0002,,,,,,,,,,,,
ACHV,TTM,,,,25371,-25371,-1514,-654,-27539,,-27539,-27539,-1.07,-1.07,25425.9040,25425.9040,,25371,-27539,-26902,1671,3185,-1514,-24354,-24125,,229,-27539,-23488,,-637,-637,,,,,,,,,,
ACI,TTM,79713700,57512000,22201700,20383900,1817800,-474600,-75500,1267700,269600,998000,998000,1.73,1.71,577800,582150,1743900,77895900,998100,1056283.79,,474900,-474600,1742600,4222800,57512000,2480200,998100,4296700,0,-73900,-73900,-15716.21,,,,,,,,,
ACIC,TTM,261180,,,,,,,90397,18226,67505,67505,1.42,1.33,45793.17,47124.70,,170783,67505,72171,,11582,,101979,,,10460,72171,,0,,,,,,,,,,,,
ACIU,TTM,40973,,,78274,-37301,2469,128,-39862,1,-39863,-39863,-0.40,-0.40,96380.1900,96380.1900,-37301,78274,-39863,-35260.5500,2598,129,2469,-39733,-37545,,2188,-39863,-32515,0.0001,-5030,-5030,-427.5500,,,,,,,,,
ACIW,TTM,1617813,773385,844428,486265,358163,-60092,-3799,294272,67093,227179,227179,2.12,2.11,106414.25,107450,358163,1259650,227179,227179,15590,75682,-60092,369954,495366,763617,125412,227179,495366,0,520,520,,,,,,,,,,
ACLS,TTM,1075736,599409,476327,241013,235314,18164,5557,259035,36943,222092,222092,6.80,6.76,32623,32844,235314,840422,222092,222092,23501,5337,18164,264372,279495,599409,15123,222092,279495,0,,,,,,,,,,,,
ACLX,TTM,155818,,,225238,-69420,30183,,-39237,1186,-40423,-40423,-0.71,-0.71,52253.81,52253.81,-69420,225238,-40423,-40423,32183,2000,30183,-37237,-33116,,4121,-40423,-33116,0,,,,,,,,,,,,
ACM,TTM,15837389,14794896,1042493,157552,884941,-122652,-205267,557022,127260,255191,255191,1.87,1.86,136507.25,137505.75,671445,14952448,255191,536227.24,59100,181752,-122652,738774,917325,14794896,178551,367626,1135852,0,-218527,-218527,-49925.76,,,,,,,,,
ACMR,TTM,693561,350066,343495,224123,119372,5326,5637,130335,22552,85022,85022,1.39,1.25,61142.11,65646.45,119372,574189,85022,84844.20,8378,3052,5326,133387,142208,350066,8821,85022,141993,0,215,215,37.20,,,,,,,,,
ACN,TTM,64896464,43734147,21162317,11566470,9595847,213287,-109811,9699323,2280126,7264787,7271985,11.06,10.92,628816.46,637246.54,9595847,55300617,7264787,7264787,272256,58969,213287,9758292,11188334,43734147,1430042,7264787,11188334,0,,,,,7198,,,,,,,
ACNB,TTM,104142,,,,,,,39148,7960,31188,31188,3.66,3.66,8497.78,8528.50,,,31188,31176.85,,,,,,,3152,31188,,0,14,14,2.85,,,2554,67562,14,86622,,,
ACNT,TTM,182264,173038,9226,26793,-17567,-2283,-11489,-31339,-4833,-13213,-13213,-1.31,-1.31,10115.50,10115.50,-29614,199831,-13213,-16316.85,,2283,-2283,-29056,-21459,173038,7597,-26506,-9412,0,-12047,-12047,-1857.85,,,,,,,,,
ACON,TTM,53.9470,81.7440,-27.7970,4672.7320,-4700.5290,-1023.2690,-176.7380,-5900.5370,,-5900.5370,-5900.5370,-4.13,-4.13,3717.9710,3717.9710,-4699.3850,4754.4760,-5900.5370,-5630.3200,,1023.4410,-1023.2690,-4877.0960,-4703.3700,81.7440,173.7260,-5900.5370,-4433.1530,,-270.2170,-270.2170,,,,,,,,,,
ACRS,TTM,32015,18369,13646,95734,-82088,,23042,-59046,,-58679,-58679,-0.82,-0.82,71018.6480,71018.6480,-67410,114103,-58679,-73357,,,,-82088,-81156,18369,932,-58679,-95834,,14678,14678,,,,,,,,,,
ACRV,TTM,,,,76295,-76295,,6730,-69002,,-69002,-69002,-2.72,-2.72,25786.08,25786.08,-76295,76295,-69002,-69002,,,,-76295,-75561,,734,-69002,-75561,,,,,,,,,,,,,
ACT,TTM,1196188,,,,,,,869951,187313,682638,682638,4.33,4.29,157807,159141.75,,326237,682638,691214.61,,51843,,921794,,,,682638,,0,-10930,-10930,-2353.39,,,,,,,,,
ACTG,TTM,152553,65373,87180,51236,35944,12773,10015,58732,-10512,60470,58538,0.90,0.75,98642.8760,115758.6690,35944,116609,67760,63140.0800,12903,130,12773,58862,78774,65373,19912,67760,72926,0.0002,5848,5848,1228.0800,,69420,,,,,,,
ACTU,TTM,,,,27699.56,-27699.56,188.79,-1307.59,-28818.36,,-28818.36,-28818.36,-1.51,-1.51,19111.64,19111.64,-27299.56,27699.56,-28818.36,-28510.77,209.06,20.28,188.79,-28798.08,-28798.08,,,-28818.36,-28490.49,,-307.59,-307.59,,,,,,,,,,
ACU,TTM,192707.95,116776.71,75931.24,61246.62,14684.62,-2225.16,12549.15,25008.60,5558.44,19450.16,19450.16,5.39,5.08,3630.14,3955.20,14684.62,178023.33,19450.16,9678.53,146.32,2371.48,-2225.16,27380.09,32939.68,116776.71,5559.59,19450.16,20375.52,0,12564.15,12564.15,2792.52,,,,,,,,,
ACVA,TTM,596019,289199,306820,391893,-85073,8834,,-76239,565,-76804,-76804,-0.47,-0.47,163549.76,163549.76,-85073,681092,-76804,-76804,11412,2578,8834,-73661,-40332,289123,33329,-76804,-40332,0,,,,,,,,,,,,
ACXP,TTM,,,,16729.2860,-16729.2860,,,-16729.2860,,-16729.2860,-16729.2860,-1.16,-1.16,14553.0600,14553.0600,,16729.2860,-16729.2860,-16729.2860,,,,-16729.2860,-16729.2860,,,-16729.2860,-16729.2860,,,,,,,,,,,,,
ADBE,TTM,20947000,2376000,18571000,11044000,7527000,122000,-901000,6748000,1388000,5360000,5360000,11.88,11.81,450250,453750,6527000,13420000,5360000,6143189.09,61000,147000,122000,6895000,7756000,1684000,861000,5360000,8742000,0,-986000,-986000,-202810.91,,,,,,,,,
ADCT,TTM,66746,5151,61595,199329,-137734,-38706,9698,-166742,43483,-214907,-214907,-2.54,-2.54,85702.9140,85702.9140,-138781,204480,-214907,-220125.2450,12194,50900,-38706,-115842,-112429,5151,3413,-214907,-118132,0.0001,5703,5703,484.7550,,,,,,,,-4682,
ADD,TTM,2830.4420,1993.4000,837.0420,27844.5970,-27007.5550,-190.1180,333.3330,-26864.3400,,-26864.3400,-26864.3400,-0.71,-0.71,38081.2130,38081.2130,-27007.5550,29837.9970,-26864.3400,-26864.3400,,90.1180,-190.1180,-26774.2220,-22511.4550,1993.4000,4262.7670,-26864.3400,-22511.4550,,,,,,,,,,,,,
ADEA,TTM,359019,,,241060,117959,-58567,-6111,53281,7068,46213,46213,0.43,0.41,107648.50,112675,106390,241060,46213,56640.22,,58567,-58567,111848,203211,,91363,46213,215233,0,-12022,-12022,-1594.78,,,,,,,,,
ADGM,TTM,266,1530,-1264,28839,-30103,-2177,-4608,-36888,,-36888,-36888,-2.76,-2.76,13387.6360,13387.6360,-30103,30369,-36888,-32347,3,2180,-2177,-34708,-33970,1530,738,-36888,-29429,,-4541,-4541,,,,,,,,,,
ADI,TTM,9700436,4088505,5611931,3365676,2246255,-251054,-162403,1832798,177167,1655631,1655631,3.34,3.32,496326.50,499122.75,2097821,7454181,1655631,1789716.66,59959,311013,-251054,2143811,4263783,2738299,2119972,1655631,4412217,0,-148434,-148434,-14348.34,,,,,,,,,
ADIL,TTM,,,,7274.0290,-7274.0290,95.6680,-5008.6340,-12186.9950,,-12240.1670,-12240.1670,-4.44,-4.44,2661.2340,2661.2340,-7274.0290,7274.0290,-12240.1670,-7722.5680,95.6680,,95.6680,-7274.0290,-7273.4650,,0.5640,-12186.9950,-2809.0380,,-4464.4270,-4464.4270,,,,,,,,,,
ADM,TTM,88768000,82163000,6605000,3592000,3013000,-187000,420000,3246000,680000,2601000,2601000,5.03,5.02,518500,519000,,85755000,2601000,2827876.77,486000,673000,-187000,3919000,5023000,82163000,1104000,2601000,5310000,0,-287000,-287000,-60123.23,,,,,,,,,
ADMA,TTM,382809,195503,187306,72413,114893,-15155,-26382,73356,,68132,68132,0.29,0.27,230467.25,237826.69,114893,267916,68132,88809.46,2111,17266,-15155,90622,98832,187843,8210,68132,125006,0,-26174,-26174,-5496.54,,,,,,,,,
ADN,TTM,7026,16072,-9046,42965,-52011,-330,-6002,-58343,-136,-58207,-58207,-25.90,-25.90,2343.38,2343.38,-50295,59037,-58207,-54415.86,,,-330,-52011,-48865,13161,3146,-58207,-45065,0,-3800,-3800,-8.86,,,,,,,,,
ADNT,TTM,14855000,13922000,933000,536000,397000,-179000,-76000,142000,-16000,74000,74000,0.76,0.75,91425,91725,,14458000,74000,206720,28000,190000,-179000,332000,668000,13922000,336000,74000,836000,0,-168000,-168000,-35280,,,,,,,,,
ADP,TTM,18446600,10595000,7851600,3791100,4060500,955200,,5015700,1166800,3848900,3848900,9.39,9.36,409650,411175,,14386100,3848900,3848362.84,1362800,407600,955200,5423300,5982300,10595000,559000,3848900,5981600,0,700,700,162.84,,,,,,,,,
ADPT,TTM,177282,73651,103631,270777,-167146,4435,,-195345,,-195241,-195241,-1.34,-1.34,146407.76,146407.76,-199780,344428,-195241,-162607,16075,11640,4435,-183705,-163505,55155,20200,-195241,-130871,,-32634,-32634,,,,,,,,,,
ADSE,TTM,107383,110270,-2886,40802,-43688,-13700,-834,-58221,-3141,-55081,-55081,-1.13,-1.13,48919,49208,-44525,151072,-55081,-54291.99,187,3028,-13700,-55193,-50343,105942,4850,-55081,-49509,0,-834,-834,-44.99,,,,,,,,,
ADSK,TTM,5805000,534000,5271000,3980000,1291000,34000,,1318000,261000,1057000,1057000,4.92,4.88,214500,216500,1291000,4514000,1057000,1065821.70,,,34000,1291000,1450000,420000,159000,1057000,1461000,0,-11000,-11000,-2178.30,,,,,,,,,
ADT,TTM,5140300,1054381,4085919,2988579,1097340,-529869,-515747,51724,51103,886968,886968,0.97,0.95,907907.75,907907.75,541339,4042960,886968,466667.38,,529869,-529869,581593,1925931,1064839,1333880,14296,2498553,0,-572622,-572622,-120250.62,,,,,,,,13675,
ADTN,TTM,949974,643442,306532,480971,-174439,-18011,-327608,-520058,31298,-562923,-562923,-7.15,-7.15,78635.50,78635.50,-504896,1124413,-562923,-304520.32,2441,20452,-18011,-499606,-408968,643442,90638,-562923,-81876,0,-327092,-327092,-68689.32,,,,,,,,,
ADTX,TTM,329.7390,481.7220,-151.9830,33405.7370,-33557.7200,-9501.6180,,-43216.2960,,-43313.3320,-43313.3320,-34.38,-34.38,1088.7480,1088.7480,-33557.7200,33887.4590,-42993.4610,-42993.4610,1.5040,9503.1220,-9501.6180,-33713.1740,-33142.0960,481.7220,571.0780,-42993.4610,-33142.0960,,,,,,,,,,,,,
ADUR,TTM,333.97,,,8613.75,-8279.78,-33.50,-15.80,-8329.07,,-8329.07,-8329.07,-1.20,-1.20,7238.51,7238.51,,8613.75,-8329.07,-8313.28,,11.24,-33.50,-8317.84,-7850.51,,467.33,-8329.07,-7834.71,,-15.80,-15.80,,,,,,,,,,
ADUS,TTM,1133806,767854,365952,262203,103749,-5256,,98493,24843,73650,73650,4.46,4.37,16535.25,16879.50,103749,1030057,73650,73650,3304,8560,-5256,107053,121046,767854,13993,73650,121046,0,,,,,,,,,,,,
ADV,TTM,4071144,3503350,567794,533890,33904,-163709,,-227317,-52768,-113051,-113051,-0.36,-0.36,323407.2080,323407.2080,-64293,4037240,-113051,-100025.3387,,163709,-163709,-63608,157133,3503350,220741,-178856,259795,0.0002,-102662,-102662,-23831.3387,,,,,,,,,
ADVM,TTM,1000,,,104100,-103100,,7856,-95244,-1133,-94111,-94111,-5.95,-5.95,17086.65,17086.65,-103100,104100,-94111,-94111,,,,-103100,-99248,,3852,-94111,-99248,0,,,,,,,,,,,,
AE,TTM,2849908,2831775,18133,17680,453,-1519,,-1066,277,-1343,-1343,-0.52,-0.52,2552.50,2552.50,453,2849455,-1343,-1343,1831,3350,-1519,2284,28329,2831775,26045,-1343,28329,0,,,,,,,,,,,,
AEE,TTM,7300000,3690000,3610000,1716000,1894000,-607000,30000,1317000,179000,1133000,1133000,4.26,4.25,265875,266175,1582000,5406000,1133000,1078562.64,38000,645000,-607000,1962000,3513000,3627000,1551000,1133000,3450000,0,63000,63000,8562.64,,,,,,,,,
AEHL,TTM,510546,457493,53053,141137,-88084,1163,84,-86837,83,-14340,-14340,-6.46,-11.12,2220.2090,2589.7310,,598630,-14340,-86801,2138,975,1163,-85862,-85501,457493,361,-86801,-85501,0.0003,,,,,,,,,,,,
AEHR,TTM,58713,29073,29640,23518,6122,2488,-28,8582,-20560,29142,29142,1.01,0.98,28932.50,29617,6122,52591,29142,29142,2488,,2488,6122,7741,29073,1619,29142,7741,0,,,,,,,,,,,,
AEI,TTM,9220.9760,7636.7600,1584.2160,10944.8460,-9360.6300,704.6060,-50857.5270,-59513.5510,92.3500,-57289.4160,-57289.4160,-6.30,-6.30,9236.7200,9236.7200,-10968.4040,18581.6060,-57289.4160,-36906.0319,821.7990,117.1930,704.6060,-59396.3580,-58169.1350,7636.7600,1227.2230,-57289.4160,-32367.3830,0.0002,-25801.7520,-25801.7520,-5418.3679,,,,,,,,,
AEIS,TTM,1471910,954406,517504,453650,63854,20933,-56793,27994,-17141,42842,42842,1.14,1.14,37415.50,37707.25,16367,1408056,42842,82649.73,48592,27659,20933,55653,124246,913400,68593,45135,171733,0,-47487,-47487,-9972.27,,,,,,,,,
AEM,TTM,7818693,4622943,3195750,528581,2667169,-88042,-853016,1726111,713842,1012269,1012364,1.99,1.98,498632,499478.50,,5151524,1012269,1701240.75,17114,95492,-88042,1821603,3327869,4622943,1506266,1012269,4138424,0,-810555,-810555,-121583.25,,95,,,,,,,
AEMD,TTM,,,,11849.2660,-11849.2660,351.8310,,-11497.4350,,-11497.4350,-11497.4350,-3.85,-3.85,3769.3770,3769.3770,-11849.2660,11849.2660,-11497.4350,-11497.4350,351.8310,,351.8310,-11849.2660,-11494.4740,,354.7920,-11497.4350,-11494.4740,,,,,,,,,,,,,
AENT,TTM,1100483,971594,128889,112349,16540,-12247,-2440,1853,-2728,4581,4581,0.09,0.09,50837.1480,50837.1480,14141,1083943,4581,6508.6000,,12247,-12247,14100,19980,971594,5880,4581,22420,0.0002,-2440,-2440,-512.4000,,,,,,,,,
AEO,TTM,5414890,3293373,2121517,1687557,433960,12000,-111819,334141,86111,248030,248030,1.27,1.25,195563,198155,313540,4980930,248030,337416.73,,,12000,433960,663641,3283360,229681,248030,784061,0,-120420,-120420,-31033.27,,,,,,,,,
AEON,TTM,,,,,,,,,,,,-2.39,-2.39,39522.2380,39522.2380,,,,,,,,,,,,,,,62453,62453,,,,,,,,,,
AEP,TTM,19602200,7600200,12002000,7961800,4040200,-1860900,257500,2436800,-146300,2639200,2639200,4.99,4.96,528430.62,529710.45,3831400,15562000,2639200,2642597,,1860900,-1860900,4297700,7637000,7503600,3339300,2639200,7641300,0,-4300,-4300,-903,,,,,,,,64600,
AER,TTM,7817256,5267708,2549548,487811,2061737,,568452,2630161,270235,2533252,2533252,12.66,12.40,194464.65,198774.87,,5755519,2533252,2028368.22,,,,2061737,4616073,5267708,2554336,2533252,4053375,0,562698,562698,57814.22,,,,,,,,174175,
AERT,TTM,72846,51642,21204,35414,-14210,-196,16413,2007,562,415,415,0.01,0.01,44102.0410,44102.0410,-14210,87056,415,-11268.8366,290,486,-196,2493,3892,51642,1399,415,-12336,0.0003,16228,16228,4544.1634,,,,,,,,,
AES,TTM,12284000,9896000,2388000,262000,2126000,-1013000,-1163000,-50000,134000,1025000,1025000,1.45,1.44,695250,712750,,10158000,1025000,1907430,465000,1478000,-1013000,1428000,2646000,9896000,1218000,1025000,3763000,0,-1117000,-1117000,-234570,,,,,,,,-10000,
AESI,TTM,925757,680692,245065,102958,142107,-28859,-9230,104018,22426,81279,81279,0.70,0.69,108235.75,109147,132435,783650,81279,88865.74,,28859,-28859,132877,224581,680692,91704,81279,234253,0,-9672,-9672,-2085.26,,,,,,,,,
AEVA,TTM,7980,11813,-3833,145645,-149478,8744,-20202,-160936,145,-161081,-161081,-3.12,-3.12,52123.6400,52123.6400,-160978,157458,-161081,-151996,8744,,8744,-149478,-140572,11813,8906,-161081,-129072,0.0002,-11500,-11500,-2415,,,,,,,,,
