ticker,date,total_revenue,cost_of_revenue,gross_profit,operating_expense,operating_income,net_non_operating_interest_income_expense,other_income_expense,pretax_income,tax_provision,net_income_common_stockholders,diluted_ni_available_to_com_stockholders,basic_eps,diluted_eps,basic_average_shares,diluted_average_shares,total_operating_income_as_reported,total_expenses,net_income_from_continuing_&_discontinued_operation,normalized_income,interest_income,interest_expense,net_interest_income,ebit,ebitda,reconciled_cost_of_revenue,reconciled_depreciation,net_income_from_continuing_operation_net_minority_interest,normalized_ebitda,tax_rate_for_calcs,total_unusual_items_excluding_goodwill,total_unusual_items,tax_effect_of_unusual_items,rent_expense_supplemental,average_dilution_earnings,credit_losses_provision,non_interest_expense,special_income_charges,interest_income_after_provision_for_loan_loss,total_money_market_investments,earnings_from_equity_interest_net_of_tax,income_from_associates_&_other_participating_interests
AMS,TTM,23104,13575,9529,7270,2259,-890,3129,4498,323,4254,4254,0.67,0.66,6423.5000,6442.5000,411,20845,4254,1349.6925,408,1298,-890,5796,11209,13575,5413,4254,8080,0.0001,3129,3129,224.6925,,,,,,,,,
AMSC,TTM,176142,127889,48253,46558,1695,3033,-10308,-5580,-4715,-865,-865,-0.02,-0.03,33711,34028,-7709,174447,-865,6564.16,3033,,3033,1695,6774,124731,5079,-865,16178,0,-9404,-9404,-1974.84,,,,,,,,,
AMSF,TTM,315182,,,,,,,76229,14806,61423,61423,3.21,3.21,19101.79,19180.55,,238953,61423,61423,,,,,,,1190,61423,,0,,,,,,,,,,,,
AMST,TTM,166.8810,,,4746.5320,-4579.6510,176.4690,,-4403.1820,,-4403.1820,-4403.1820,-1.73,-1.73,2542.4400,2542.4400,-4579.6510,4746.5320,-4403.1820,-4403.1820,176.4690,,176.4690,-4403.1820,-3869.5150,,533.6670,-4403.1820,-3869.5150,,,,,,,,,,,,,
AMTB,TTM,277866,,,,,,,-63019,-12446,-49756,-49756,-1.48,-1.48,33584.58,33584.58,,,-49756,-55092.65,,,,,,,6346,-49756,,0,6650,6650,1313.35,,,-63050,284485,6650,256949,19723,,
AMTM,TTM,5616000,4822000,794000,433000,361000,7000,-10000,358000,88000,257000,257000,1.06,1.06,243293.46,243293.46,361000,5255000,257000,257000,7000,,7000,361000,433000,4822000,72000,257000,433000,0,,,,,,,,,,,,
AMTX,TTM,278649,279711,-1062,39494,-40556,-62732,1861,-101427,-53291,-48136,-48136,-1.06,-1.06,41235.5000,41235.5000,-40556,319205,-48136,-48136,,56266,-62732,-45161,-37769,279711,7392,-48136,-37769,0.0002,,,,,,,,,,,,
AMWD,TTM,1808375,1447311,361064,202496,158568,-8060,-7508,143000,35001,107999,107999,6.81,6.76,15904.03,16031.02,158594,1649807,107999,107979.36,,8060,-8060,151060,219481,1447311,68421,107999,219455,0,26,26,6.36,,,,,,,,,
AMWL,TTM,254035,165633,88402,320135,-231733,18506,,-213227,1770,-214076,-214076,-14.45,-14.45,14749.38,14749.38,-231733,485768,-214076,-214076,18506,,18506,-231733,-198672,165604,33061,-214076,-198672,0,,,,,,,,,,,-3115,
AMZN,TTM,620128000,503597000,116531000,55932000,60599000,1781000,-2429000,59951000,10002000,49868000,49868000,4.78,4.68,10424750,10681750,60599000,559529000,49868000,51645138.28,4330000,2549000,1781000,62500000,127304000,503597000,64804000,49868000,129437000,0,-2133000,-2133000,-355861.72,,,,,,,,-81000,
AN,TTM,26319600,21560600,4759000,3443100,1315900,-392100,28800,952600,230300,722300,722300,17.52,17.40,41225,41525,1315900,25003700,722300,722300,,392100,-392100,1344700,1581600,21560600,236900,722300,1581600,0,,,,,,,,,,,,
ANAB,TTM,57172,,,197247,-140075,-18230,,-165653,5,-165658,-165658,-6.05,-6.05,27411.50,27411.50,-147414,197247,-165658,-159860.19,19411,37641,-18230,-128012,-125612,,2400,-165658,-118273,0,-7339,-7339,-1541.19,,,,,,,,,
ANDE,TTM,11347410,10648880,698530,489178,209352,-29595,45511,225268,30235,120108,120108,3.55,3.49,33953.50,34423.25,,11138058,120108,120108,,29595,-29595,254863,377795,10648880,122932,120108,377795,0,,,,,24713,,,,,,,
ANEB,TTM,,,,8308.7550,-8308.7550,97.7920,9.2600,-8201.7030,,-8201.7030,-8201.7030,-0.32,-0.32,25822.2580,25822.2580,-8308.7550,8308.7550,-8201.7030,-8201.7030,249.0220,151.2300,97.7920,-8050.4730,-8050.4730,,,-8201.7030,-8050.4730,,,,,,,,,,,,,
ANET,TTM,6613147,2353612,4259535,1474657,2784878,274675,10945,3070498,405804,2664694,2664694,8.51,8.33,313209,319770.50,2784878,3828269,2664694,2653932.81,274675,,274675,2784878,2845925,2353612,61047,2664694,2833525,0,12400,12400,1638.81,,,,,,,,,
ANF,TTM,4664042,1651085,3012957,2346662,666295,14394,,680689,171397,501676,501676,9.90,9.43,50808.50,53597,666295,3997747,501676,501676,40622,26228,14394,706917,852654,1651085,145737,501676,852654,0,4436,4436,,,,,,,,,,
ANGH,TTM,41380.4400,31088.5420,10291.8980,22295.1880,-12003.2900,-249.5580,-2757.7950,-15010.6430,654.9910,-15813.3510,-15813.3510,-0.60,-0.60,26431.3900,26431.3900,-14557.8070,53383.7300,-15813.3510,-14284.2402,18.9590,268.5170,-249.5580,-14742.1260,-11524.1860,28544.4130,3217.9400,-15813.3510,-8975.6680,0.0004,-2548.5180,-2548.5180,-1019.4072,670.5570,,,,,,,,
ANGI,TTM,1272188,57551,1214637,1202970,11667,-780,-883,10004,7702,-8787,-8787,-0.02,-0.02,504173,507068.5000,11667,1260521,-8787,597.9800,19373,20153,-780,30157,127373,57551,97216,1576,126135,0.0002,1238,1238,259.9800,,,,,,,,,
ANGO,TTM,292726,141364,151362,184187,-32825,2101,-208440,-239164,3867,-243031,-243031,-6.05,-6.05,40383.68,40383.68,-240563,325551,-243031,-78917.98,,,2101,-32825,-5016,125548,27809,-243031,202722,0,-207738,-207738,-43624.98,,,,,,,,,
ANIK,TTM,164168,84406,79762,111171,-31409,2170,,-94530,2990,-97520,-97520,-6.64,-6.64,14738.50,14738.50,-96700,195577,-97520,-45940.11,,,2170,-31409,-21526,84406,9883,-97520,43765,0,-65291,-65291,-13711.11,,,,,,,,,
ANIP,TTM,555456,223350,332106,322506,9600,-17333,230,-7503,-412,-8716,-8716,-0.47,-0.47,19210,19283,11688,545856,-7091,-9848.77,,17333,-17333,9830,70155,223350,60325,-7091,67237,0,2918,2918,160.23,,,,,,,,,
ANIX,TTM,,,,13719,-13719,1213,,-12506,,-12361,-12361,-0.39,-0.39,31627.2500,31627.2500,-13719,13719,-12361,-12361,1213,,1213,-13719,-13679,,40,-12361,-13679,,,,,,,,,,,,,
ANL,TTM,5000,,,72551,-67551,-729,-35948,-104228,643,-104871,-104871,-7.26,-7.26,14447.3560,14447.3560,-67551,72551,-104871,-104871,62,791,-729,-103437,-101215,,2222,-104871,-101215,0.0002,,,,,,,,,,,,
ANNX,TTM,,,,126942,-126942,11783,,-115159,,-115159,-115159,-1.21,-1.21,101601.12,101601.12,-126942,126942,-115159,-115159,11783,,11783,-126942,-124618,,2151,-115159,-124618,,,,,,,,,,,,,
ANRO,TTM,,,,54210,-54210,4256,149,-49805,,-49805,-49805,-1.85,-1.85,26883.9900,26883.9900,-54210,54210,-49805,-49954,5668,1412,4256,-48393,-48008,,385,-49805,-48157,,149,149,,,,,,,,,,
ANSC,TTM,,,,4215.59,-4215.59,11900.90,,7685.32,,7685.32,7685.32,0.32,0.26,43125,43125,,4215.59,7685.32,7685.32,11900.90,,11900.90,-4215.59,-4215.59,,,7685.32,-4215.59,0,,,,,,,,,,,,
ANSS,TTM,2467743,277180,2190563,1495270,695293,-5782,-5994,683517,115751,567766,567766,6.52,6.49,87172,87745.25,695293,1772450,567766,572927.68,43694,49476,-5782,732993,873809,160403,140816,567766,880023,0,-6214,-6214,-1052.32,,,,,,,,,
