Stock,Date,Stock Price,Dividend Amount,Dividend Yield
AXP,2020-04-02,74.93252563476562,0.43,0.005738496018349842,Quarterly
AXP,2020-07-01,92.34777069091797,0.43,0.004656311644372903,Quarterly
AXP,2020-10-08,104.57536315917969,0.43,0.0041118671454716755,Quarterly
AXP,2021-01-07,120.37763214111328,0.43,0.0035720921931404197,Quarterly
AXP,2021-03-31,140.3697967529297,0.43,0.0030633370564528183,Quarterly
AXP,2021-07-01,166.109130859375,0.43,0.0025886596225949206,Quarterly
AXP,2021-10-07,173.85365295410156,0.43,0.0024733446360975953,Quarterly
AXP,2022-01-06,172.89999389648438,0.43,0.0024869867853057415,Quarterly
AIG,2020-03-13,27.00301742553711,0.32,0.011850527478361428,Quarterly
AIG,2020-06-12,31.624704360961914,0.32,0.010118671667173389,Quarterly
AIG,2020-09-16,28.813488006591797,0.32,0.011105909840793732,Quarterly
AIG,2020-12-11,37.84867477416992,0.32,0.00845472138481282,Quarterly
AIG,2021-03-15,47.48058319091797,0.32,0.006739597083576034,Quarterly
AIG,2021-06-14,50.502174377441406,0.32,0.006336360838810525,Quarterly
AIG,2021-09-15,54.131229400634766,0.32,0.005911559806477396,Quarterly
AIG,2021-12-15,54.36000061035156,0.32,0.00588668131727474,Quarterly
AMT,2020-04-13,241.3743438720703,1.08,0.004474377776340661,Quarterly
AMT,2020-06-18,249.99288940429688,1.1,0.004400125150043941,Quarterly
AMT,2020-09-25,233.85702514648438,1.14,0.004874773376108423,Quarterly
AMT,2020-12-24,214.41567993164062,1.21,0.0056432440033572576,Quarterly
AMT,2021-04-12,238.05111694335938,1.24,0.005208965267300296,Quarterly
AMT,2021-06-17,266.93304443359375,1.27,0.004757747407012938,Quarterly
AMT,2021-09-27,272.7453308105469,1.31,0.004803015311414978,Quarterly
AMT,2021-12-23,278.739990234375,1.39,0.004986726155910517,Quarterly
AWK,2020-02-06,131.01622009277344,0.5,0.0038163213657511014,Quarterly
AWK,2020-05-11,116.50682067871094,0.55,0.004720753658849953,Quarterly
AWK,2020-08-11,139.3784637451172,0.55,0.003946090272639184,Quarterly
AWK,2020-11-09,159.40737915039062,0.55,0.0034502794220154036,Quarterly
AWK,2021-02-05,162.58428955078125,0.55,0.0033828606781113016,Quarterly
AWK,2021-05-10,154.31585693359375,0.603,0.003907569915251723,Quarterly
AWK,2021-08-09,175.8047637939453,0.6025,0.003427097121817299,Quarterly
AWK,2021-11-09,168.86318969726562,0.6025,0.003567977136284997,Quarterly
AWK,2022-02-07,155.4199981689453,0.6025,0.003876592504814393,Quarterly
AMP,2020-02-13,171.06845092773438,0.97,0.00567024483322038,Quarterly
AMP,2020-05-15,117.96780395507812,1.04,0.008815964738955637,Quarterly
AMP,2020-08-07,155.6209716796875,1.04,0.006682903909253425,Quarterly
AMP,2020-11-06,166.30010986328125,1.04,0.006253754136753159,Quarterly
AMP,2021-02-11,211.32139587402344,1.04,0.00492141363962967,Quarterly
AMP,2021-05-07,262.5953369140625,1.13,0.004303199033461155,Quarterly
AMP,2021-08-06,263.674560546875,1.13,0.004285585980142795,Quarterly
AMP,2021-11-05,304.1592712402344,1.13,0.003715158822521938,Quarterly
AMP,2022-02-10,315.8999938964844,1.13,0.003577081423972055,Quarterly
AME,2020-03-12,66.75337982177734,0.18,0.002696492679180831,Quarterly
AME,2020-06-11,87.25846099853516,0.18,0.002062837207305567,Quarterly
AME,2020-09-11,99.14878845214844,0.18,0.0018154533485487043,Quarterly
AME,2020-12-04,116.1324691772461,0.18,0.0015499541280335363,Quarterly
AME,2021-03-12,121.03239440917969,0.2,0.0016524501640763295,Quarterly
AME,2021-06-11,135.45790100097656,0.2,0.0014764734911886619,Quarterly
AME,2021-09-13,130.36351013183594,0.2,0.0015341716389635494,Quarterly
AME,2021-12-07,140.39999389648438,0.2,0.0014245014864278282,Quarterly
AMGN,2020-02-13,215.45335388183594,1.6,0.0074262014082060205,Quarterly
AMGN,2020-05-15,233.60018920898438,1.6,0.006849309520758142,Quarterly
AMGN,2020-08-14,234.68524169921875,1.6,0.006817642167932396,Quarterly
AMGN,2020-11-13,233.9630584716797,1.6,0.006838686459527857,Quarterly
AMGN,2021-02-11,233.39889526367188,1.76,0.007540738348447277,Quarterly
AMGN,2021-05-14,251.3800048828125,1.76,0.007001352398017778,Quarterly
APH,2020-03-16,16.3919734954834,0.125,0.007625683389156417,Quarterly
APH,2020-06-15,23.2640380859375,0.125,0.005373099869345521,Quarterly
APH,2020-09-14,25.996932983398438,0.25,0.009616519000900962,Quarterly
APH,2020-12-14,32.006568908691406,0.29,0.00906064004633906,Quarterly
APH,2021-03-22,31.93443489074707,0.145,0.004540553183297864,Quarterly
APH,2021-06-21,33.224727630615234,0.145,0.004364219373355777,Quarterly
APH,2021-09-20,36.920074462890625,0.145,0.003927402696485443,Quarterly
APH,2021-12-20,40.56999969482422,0.2,0.004929751084654687,Quarterly
ADI,2020-02-27,105.21908569335938,0.62,0.005892467092965147,Quarterly
ADI,2020-05-28,108.9729995727539,0.62,0.005689482738208632,Quarterly
ADI,2020-08-27,117.51288604736328,0.62,0.0052760171318582925,Quarterly
ADI,2020-12-03,138.5679931640625,0.62,0.004474337730112963,Quarterly
ADI,2021-02-25,153.03294372558594,0.69,0.004508833086536499,Quarterly
ADI,2021-05-27,163.2100067138672,0.69,0.004227681953409134,Quarterly
AON,2020-01-31,216.54844665527344,0.44,0.00203187788596998,Quarterly
AON,2020-04-30,170.20704650878906,0.44,0.0025850868634705996,Quarterly
AON,2020-07-31,202.7227783203125,0.44,0.002170451705751473,Quarterly
AON,2020-10-30,182.21958923339844,0.46,0.0025244267201744307,Quarterly
AON,2021-01-29,201.57273864746094,0.46,0.0022820546224979034,Quarterly
AON,2021-04-30,250.082275390625,0.51,0.0020393288536878,Quarterly
AON,2021-07-30,259.1269226074219,0.51,0.001968147481042144,Quarterly
AON,2021-10-29,319.3161315917969,0.51,0.0015971632797179413,Quarterly
AON,2022-01-31,276.44000244140625,0.51,0.0018448849497029603,Quarterly
APA,2020-01-21,31.177749633789062,0.25,0.008018538956033603,Quarterly
APA,2020-04-21,8.443079948425293,0.025,0.002961004769907777,Quarterly
APA,2020-07-21,14.706368446350098,0.025,0.0016999438094592706,Quarterly
APA,2020-10-21,9.005168914794922,0.025,0.0027761833494235276,Quarterly
APA,2021-01-21,16.490190505981445,0.025,0.0015160528309804435,Quarterly
APA,2021-04-21,17.010704040527344,0.025,0.0014696628628914164,Quarterly
APA,2021-07-21,18.307113647460938,0.025,0.001365589381342335,Quarterly
APA,2021-10-21,26.905731201171875,0.0625,0.0023229251616576703,Quarterly
APA,2022-01-20,31.25,0.125,0.004,Quarterly
AAPL,2020-02-07,79.2574691772461,0.1925,0.002428793172407586,Quarterly
AAPL,2020-05-08,77.01358032226562,0.205,0.0026618681944427383,Quarterly
AAPL,2020-08-07,110.56783294677734,0.205,0.0018540654595145974,Quarterly
AAPL,2020-11-06,118.31195068359375,0.205,0.0017327074637475926,Quarterly
AAPL,2021-02-05,136.52809143066406,0.205,0.0015015224914654978,Quarterly
AAPL,2021-05-07,130.2100067138672,0.22,0.0016895782862790553,Quarterly
AMAT,2020-02-18,64.2607421875,0.21,0.0032679361123353038,Quarterly
AMAT,2020-05-20,56.31837844848633,0.22,0.003906362471022334,Quarterly
AMAT,2020-08-19,65.43631744384766,0.22,0.0033620473858234283,Quarterly
AMAT,2020-11-18,75.43468475341797,0.22,0.002916430296211077,Quarterly
AMAT,2021-02-24,122.59563446044922,0.22,0.0017945174064984718,Quarterly
AMAT,2021-05-26,136.89999389648438,0.24,0.0017531045339671358,Quarterly
APTV,2020-02-04,90.51000213623047,0.22,0.0024306705867586723,Irregular
ADM,2020-02-12,43.183712005615234,0.36,0.008336476492645855,Quarterly
ADM,2020-05-19,33.30258560180664,0.36,0.010809971463010675,Quarterly
ADM,2020-08-18,42.72552490234375,0.36,0.00842587658835882,Quarterly
ADM,2020-11-18,47.85159683227539,0.36,0.0075232599083753845,Quarterly
ADM,2021-02-08,52.46974182128906,0.37,0.007051683258900205,Quarterly
ADM,2021-05-18,65.91596221923828,0.37,0.005613207902046093,Quarterly
ADM,2021-08-17,60.807315826416016,0.37,0.00608479415628578,Quarterly
ADM,2021-11-16,66.0491943359375,0.37,0.005601885136071709,Quarterly
ADM,2022-02-07,75.9800033569336,0.4,0.005264543068271631,Quarterly
AJG,2020-03-05,99.15109252929688,0.45,0.00453852790242362,Quarterly
AJG,2020-06-04,95.79449462890625,0.45,0.004697555968568274,Quarterly
AJG,2020-09-03,102.44766998291016,0.45,0.0043924864281937,Quarterly
AJG,2020-12-03,113.84952545166016,0.45,0.003952585645085252,Quarterly
AJG,2021-03-04,119.02837371826172,0.48,0.004032651921601083,Quarterly
AJG,2021-06-03,143.21197509765625,0.48,0.003351675023493587,Quarterly
AJG,2021-09-02,144.92184448242188,0.48,0.003312130077520653,Quarterly
AJG,2021-12-02,165.9851531982422,0.48,0.00289182490572948,Quarterly
AJG,2022-03-03,158.41000366210938,0.51,0.003219493644402892,Quarterly
AIZ,2020-02-21,134.8678436279297,0.63,0.004671239511606856,Quarterly
AIZ,2020-05-22,98.19628143310547,0.63,0.006415721560995939,Quarterly
AIZ,2020-08-28,119.44762420654297,0.63,0.005274278196698454,Quarterly
AIZ,2020-11-27,130.90213012695312,0.66,0.005041934759655252,Quarterly
AIZ,2021-02-19,121.30044555664062,0.66,0.005441035249056991,Quarterly
AIZ,2021-05-28,159.17507934570312,0.66,0.004146377703802392,Quarterly
AIZ,2021-08-27,167.94732666015625,0.66,0.003929803546891337,Quarterly
AIZ,2021-11-26,156.65574645996094,0.68,0.0043407280956259,Quarterly
AIZ,2022-02-25,168.41000366210938,0.68,0.004037764890524692,Quarterly
T,2020-01-09,23.562774658203125,0.52,0.022068708271543377,Quarterly
T,2020-04-08,18.5770320892334,0.52,0.02799155416765275,Quarterly
T,2020-07-09,18.784074783325195,0.52,0.027683024370282482,Quarterly
T,2020-10-08,18.638259887695312,0.52,0.027899600238072433,Quarterly
T,2021-01-08,19.350780487060547,0.52,0.026872301111973904,Quarterly
T,2021-04-08,20.45966911315918,0.52,0.02541585580509453,Quarterly
T,2021-07-08,19.686965942382812,0.52,0.02641341492243481,Quarterly
T,2021-10-07,19.414918899536133,0.52,0.02678352676571953,Quarterly
T,2021-10-08,19.685888290405273,0.52,0.026414860855095038,Quarterly
T,2022-01-07,19.856494903564453,0.52,0.02618790489084025,Quarterly
ATO,2020-02-21,112.8076171875,0.575,0.005097173527247543,Quarterly
ATO,2020-05-22,94.00159454345703,0.575,0.006116917513927669,Quarterly
ATO,2020-08-21,96.9492416381836,0.575,0.0059309386054396465,Quarterly
ATO,2020-11-27,93.67327117919922,0.625,0.006672127407661039,Quarterly
ATO,2021-02-19,91.12713623046875,0.625,0.006858549778403204,Quarterly
ATO,2021-05-21,96.23877716064453,0.625,0.006494263730686562,Quarterly
ATO,2021-08-20,97.43446350097656,0.625,0.006414568085487901,Quarterly
ATO,2021-11-26,92.78146362304688,0.68,0.007329050151253362,Quarterly
ATO,2022-02-17,106.66000366210938,0.68,0.006375398243508292,Quarterly
ADP,2020-03-12,126.72209930419922,0.91,0.00718106790367736,Quarterly
ADP,2020-06-11,139.90089416503906,0.91,0.006504604601929751,Quarterly
ADP,2020-09-10,129.9117431640625,0.91,0.007004755519682176,Quarterly
ADP,2020-12-10,170.31845092773438,0.93,0.005460359667048618,Quarterly
ADP,2021-03-11,180.70802307128906,0.93,0.005146423408290601,Quarterly
ADP,2021-06-10,200.05999755859375,0.93,0.004648605475103142,Quarterly
AVB,2020-03-30,143.1233673095703,1.59,0.011109297034361212,Quarterly
AVB,2020-06-29,145.49844360351562,1.59,0.010927951946570386,Quarterly
AVB,2020-09-29,141.7755889892578,1.59,0.011214906679883183,Quarterly
AVB,2020-12-30,153.4474639892578,1.59,0.010361852575884272,Quarterly
AVB,2021-03-30,183.47073364257812,1.59,0.008666232310911784,Quarterly
AVB,2021-06-29,207.48670959472656,1.59,0.007663141427736108,Quarterly
AVB,2021-10-01,221.3575439453125,1.59,0.00718294923073784,Quarterly
AVB,2021-12-30,251.25999450683594,1.59,0.006328106482374143,Quarterly
AVY,2020-03-03,114.36542510986328,0.58,0.005071462808299208,Quarterly
AVY,2020-06-02,112.62649536132812,0.58,0.005149765143088622,Quarterly
