ticker,date,total_assets,total_liabilities_net_minority_interest,total_equity_gross_minority_interest,total_capitalization,common_stock_equity,net_tangible_assets,working_capital,invested_capital,tangible_book_value,total_debt,net_debt,share_issued,ordinary_shares_number,capital_lease_obligations,preferred_stock_equity,preferred_shares_number,treasury_shares_number
ACVA,12/31/2023,922924,466396,456528,571528,456528,263186,372958,571528,263186,115000,,161842.84,161842.84,,,,
ACXP,12/31/2023,7709.1230,3042.4380,4666.6850,4666.6850,4666.6850,4666.6850,4666.6850,4666.6850,4666.6850,,,14468.2290,14468.2290,,,,
ADBE,11/30/2023,29779000,13261000,16518000,20152000,16518000,2625000,2833000,20152000,2625000,4080000,,601000,455000,446000,,,146000
ADCT,12/31/2023,354782,503031,-148249,-35519,-148249,-148249,268621,-35519,-148249,124377,,89041.9460,82293.1370,11647,,,6748.8090
ADD,6/30/2024,27591.6480,9065.9040,18525.7440,18525.7440,18525.7440,1519.6610,1415.7910,19400.7440,1519.6610,1078.4610,854.7820,54086.2240,54086.2240,203.4610,,,
ADEA,12/31/2023,1105556,748934,356622,876172,356622,-304210,103804,942317,-304210,595928,531135,120730,107384,10233,,,13346
ADGM,12/31/2023,6825,140404,-133579,-133436,-133579,-133579,-43547,-93755,-133579,39955,38441,13387.6360,13387.6360,131,,,
ADI,10/31/2023,48794478,13229356,35565122,41467579,35565122,-2659969,1183051,42513855,-2659969,7013478,5990672,496261.68,496261.68,64745,,,
ADIL,12/31/2022,5732.8040,2456.3100,3276.4940,3276.4940,3276.4940,3272.0170,2989.0690,3276.4940,3272.0170,207.3750,,1067.4910,1067.4910,207.3750,,,
ADM,12/31/2023,54631000,30166000,24465000,32391000,24132000,17791000,11105000,32497000,17791000,9596000,6997000,513000,513000,1231000,,,
ADMA,12/31/2023,329182,193976,135206,265800,135206,131177,207207,265800,131177,141418,79242,226063.03,226063.03,10824,,,
ADN,12/31/2023,34737,21289,13448,13448,13448,13369,-3078,13448,13369,10416,,2580.16,2580.16,10416,,,
ADNT,9/30/2023,9424000,6821000,2603000,4629000,2228000,-274000,578000,4763000,-274000,2535000,1425000,93697.70,93697.70,,,,
ADP,6/30/2024,54362700,49815100,4547600,7538900,4547600,858000,462500,7924300,858000,3705300,463300,638700,408100,328600,,,230600
ADPT,12/31/2023,661134,352856,308278,308399,308399,184299,322173,308399,184299,98772,,145082.27,145082.27,98772,,,
ADSE,12/31/2023,124408,90489,33919,33919,33919,8879,29162,47827,8879,17341,,50642.76,50584.76,3433,,,58
ADSK,1/31/2023,9438000,8293000,1145000,3426000,1145000,-2887000,-659000,3426000,-2887000,2666000,334000,215000,215000,385000,,,
ADT,12/31/2023,15964094,12175448,3788646,11311995,3788646,-5992746,-475514,11632607,-5992746,7859940,7829340,922176.86,922176.86,15979,,,
ADTN,12/31/2023,1682512,636934,1045578,788822,593822,-87578,457345,788822,-87578,226420,107833,78971,78674,31420,,,297
ADTX,12/31/2023,44578.3270,28531.5580,16046.7690,16056.3770,16056.3520,16046.9330,-18976.8660,32232.6520,16046.9080,18217.9870,16079.1980,1318.9690,1318.9180,2041.6870,0.0250,,0.0510
ADUR,5/31/2024,6956.75,600.53,6356.22,6356.22,6356.22,6356.22,3200.27,6356.22,6356.22,138.59,,21759.07,21759.07,138.59,,,
ADUS,12/31/2023,1024426,317732,706694,830826,706694,-48284,54887,830826,-48284,175182,59341,16227,16227,51050,,,
ADV,12/31/2023,3779323,2675246,1104077,2958146,1105362,-1330163,470737,2971726,-1330163,1917009,1739885,325835.3360,322235.2610,50645,,,3600.0750
ADVM,12/31/2023,173010,89541,83469,83469,83469,83469,77859,83469,83469,75036,,10143.30,10143.30,75036,,,
AE,12/31/2023,361334,268618,92716,112091,92716,78058,21684,114591,78058,53601,,2547.15,2547.15,31726,,,
AEE,12/31/2023,40830000,29352000,11478000,26470000,11349000,10938000,-1164000,27855000,10938000,16506000,16481000,266300,266300,,,,
AEHL,12/31/2023,121502,19261,102241,104336,96942,96937,22365,112486,96937,15544,11736,805.5180,805.5180,,,,
AEHR,5/31/2024,127912,16319,111593,111593,111593,111593,87340,111593,111593,6197,,28995,28995,6197,,,
AEI,12/31/2023,126314.0280,9066.7000,117247.3280,108771.9480,108645.7660,108585.4230,47116.5510,108819.5610,108585.4230,1673.0580,,9235.1190,9235.1190,1499.2630,,,
AEIS,12/31/2023,2556757,1412575,1144182,2039861,1144182,698864,1376046,2059861,698864,1022753,,37318,37318,107074,,,
