ticker,first_trade_date,long_name,short_name,sector,industry,address,website
FLD,1644417000,FTAC Emerald Acquisition Corp.,FTAC Emerald Acquisition Corp.,Financial Services,Shell Companies,"2929 Arch Street Suite 1703 Philadelphia, PA 19104 United States",
FLEX,764001000,Flex Ltd.,Flex Ltd.,Technology,Electronic Components,"12455 Research Boulevard Austin, TX 78759 United States",https://www.flex.com
FLG,754065000,"Flagstar Financial, Inc.","Flagstar Financial, Inc.",Financial Services,Banks - Regional,"102 Duffy Avenue Hicksville, NY 11801 United States",https://www.flagstar.com
FLGC,1620739800,Flora Growth Corp.,Flora Growth Corp.,Healthcare,Drug Manufacturers - Specialty & Generic,"3406 SW 26th Terrace Suite C-1 Fort Lauderdale, FL 33132 United States",https://www.floragrowth.com
FLGT,1475155800,"Fulgent Genetics, Inc.","Fulgent Genetics, Inc.",Healthcare,Diagnostics & Research,"4399 Santa Anita Avenue El Monte, CA 91731 United States",https://www.fulgentgenetics.com
FLIC,537460200,The First of Long Island Corporation,The First of Long Island Corpor,Financial Services,Banks - Regional,"275 Broadhollow Road Melville, NY 11747 United States",https://www.fnbli.com
FLL,745594200,"Full House Resorts, Inc.","Full House Resorts, Inc.",Consumer Cyclical,Resorts & Casinos,"One Summerlin Suite 680 1980 Festival Plaza Drive Las Vegas, NV 89135 United States",https://www.fullhouseresorts.com
FLNC,1635427800,"Fluence Energy, Inc.","Fluence Energy, Inc.",Utilities,Utilities - Renewable,"4601 Fairfax Drive Suite 600 Arlington, VA 22203 United States",https://fluenceenergy.com
FLNG,1560778200,FLEX LNG Ltd.,FLEX LNG Ltd.,Energy,Oil & Gas Midstream,"Par-La-Ville Place 14 Par-La-Ville Road Hamilton, HM08 Bermuda",https://www.flexlng.com
FLNT,1198852200,"Fluent, Inc.","Fluent, Inc.",Communication Services,Advertising Agencies,"300 Vesey Street 9th Floor New York, NY 10282 United States",https://www.fluentco.com
FLO,322151400,"Flowers Foods, Inc.","Flowers Foods, Inc.",Consumer Defensive,Packaged Foods,"1919 Flowers Circle Thomasville, GA 31757 United States",https://www.flowersfoods.com
FLR,975681000,Fluor Corporation,Fluor Corporation,Industrials,Engineering & Construction,"6700 Las Colinas Boulevard Irving, TX 75039 United States",https://www.fluor.com
FLUT,1033738200,Flutter Entertainment plc,Flutter Entertainment plc,Consumer Cyclical,Gambling,"Belfield Office Park Beech Hill Road Clonskeagh Dublin, D04 V972 Ireland",https://www.flutter.com
FLUX,1597411800,"Flux Power Holdings, Inc.","Flux Power Holdings, Inc.",Industrials,Electrical Equipment & Parts,"2685 South Melrose Drive Vista, CA 92081 United States",https://www.fluxpower.com
FLWS,933687000,"1-800-FLOWERS.COM, Inc.","1-800-FLOWERS.COM, Inc.",Consumer Cyclical,Specialty Retail,"Two Jericho Plaza Suite 200 Jericho, NY 11753 United States",https://www.1800flowers.com
FLXS,322151400,"Flexsteel Industries, Inc.","Flexsteel Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances","385 Bell Street Dubuque, IA 52001-0877 United States",https://www.flexsteel.com
FLYE,1717680600,"Fly-E Group, Inc.","Fly-E Group, Inc.",Consumer Cyclical,Auto Manufacturers,"136-40 39th Avenue Flushing, NY 11354 United States",https://flyebike.com
FLYW,1622035800,Flywire Corporation,Flywire Corporation - Voting,Technology,Software - Infrastructure,"141 Tremont Street #10 Boston, MA 02111-1293 United States",https://www.flywire.com
FLYX,1703860200,"flyExclusive, Inc.","flyExclusive, Inc.",Industrials,Airlines,"2860 Jetport Road Kinston, NC 28504 United States",https://www.flyexclusive.com
FMAO,1138631400,"Farmers & Merchants Bancorp, Inc.","Farmers & Merchants Bancorp, In",Financial Services,Banks - Regional,"307 North Defiance Street Archbold, OH 43502 United States",https://www.fm.bank
FMBH,921594600,"First Mid Bancshares, Inc.","First Mid Bancshares, Inc.",Financial Services,Banks - Regional,"1421 Charleston Avenue Mattoon, IL 61938 United States",https://www.firstmid.com
FMC,322151400,FMC Corporation,FMC Corporation,Basic Materials,Agricultural Inputs,"FMC Tower 2929 Walnut Street Cira Centre South Philadelphia, PA 19104 United States",https://www.fmc.com
FMNB,915460200,Farmers National Banc Corp.,Farmers National Banc Corp.,Financial Services,Banks - Regional,"20 South Broad Street Canfield, OH 44406 United States",https://www.farmersbankgroup.com
FMST,1695389400,Foremost Clean Energy Ltd.,Foremost Clean Energy Ltd.,Basic Materials,Other Industrial Metals & Mining,"750 West Pender Street Suite 250 Vancouver, BC V6C 2T7 Canada",https://foremostcleanenergy.com
FN,1277472600,Fabrinet,Fabrinet,Technology,Electronic Components,"One Nexus Way Camana Bay George Town, KY1-9005 Cayman Islands",https://www.fabrinet.com
FNA,1634304600,"Paragon 28, Inc.","Paragon 28, Inc.",Healthcare,Medical Devices,"14445 Grasslands Drive Englewood, CO 80112 United States",https://paragon28.com
FNB,526051800,F.N.B. Corporation,F.N.B. Corporation,Financial Services,Banks - Regional,"One North Shore Center 12 Federal Street Pittsburgh, PA 15212 United States",https://www.fnb-online.com
FND,1493299800,"Floor & Decor Holdings, Inc.","Floor & Decor Holdings, Inc.",Consumer Cyclical,Home Improvement Retail,"2500 Windy Ridge Parkway SE Atlanta, GA 30339 United States",https://www.flooranddecor.com
FNF,1129296600,"Fidelity National Financial, Inc.",FNF Group of Fidelity National ,Financial Services,Insurance - Specialty,"601 Riverside Avenue Jacksonville, FL 32204 United States",https://www.fnf.com
FNGR,1501594200,"FingerMotion, Inc.","FingerMotion, Inc.",Communication Services,Telecom Services,"111 Somerset Road Level 3 Singapore, 238164 Singapore",https://fingermotion.com
FNKO,1509629400,"Funko, Inc.","Funko, Inc.",Consumer Cyclical,Leisure,"2802 Wetmore Avenue Everett, WA 98201 United States",https://www.funko.com
FNLC,931959000,"The First Bancorp, Inc.","First Bancorp, Inc (ME)",Financial Services,Banks - Regional,"223 Main Street P. O. Box 940 Damariscotta, ME 04543 United States",https://www.thefirst.com
FNV,1197037800,Franco-Nevada Corporation,Franco-Nevada Corporation,Basic Materials,Gold,"199 Bay Street Suite 2000 P.O. Box 285 Commerce Court Postal Station Toronto, ON M5L 1G9 Canada",https://www.franco-nevada.com
FNWB,1422628200,First Northwest Bancorp,First Northwest Bancorp,Financial Services,Banks - Regional,"105 West 8th Street Port Angeles, WA 98362 United States",https://www.ourfirstfed.com
FNWD,895671000,Finward Bancorp,Finward Bancorp,Financial Services,Banks - Regional,"9204 Columbia Avenue Munster, IN 46321 United States",https://www.ibankpeoples.com
FOA,1555594200,Finance of America Companies Inc.,Finance of America Companies In,Financial Services,Credit Services,"5830 Granite Parkway Suite 400 Plano, TX 75024 United States",https://www.financeofamerica.com
FOLD,1180618200,"Amicus Therapeutics, Inc.","Amicus Therapeutics, Inc.",Healthcare,Biotechnology,"47 Hulfish Street Princeton, NJ 08542 United States",https://amicusrx.com
FONR,373213800,FONAR Corporation,Fonar Corporation,Healthcare,Diagnostics & Research,"110 Marcus Drive Melville, NY 11747 United States",https://www.fonar.com
FOR,1197556200,Forestar Group Inc.,Forestar Group Inc,Real Estate,Real Estate - Development,"2221 East Lamar Boulevard Suite 790 Arlington, TX 76006 United States",https://www.forestar.com
FORA,1614781800,Forian Inc.,Forian Inc.,Healthcare,Health Information Services,"41 University Drive Suite 400 Newtown, PA 18940 United States",https://forian.com
FORD,785082600,"Forward Industries, Inc.","Forward Industries, Inc.",Consumer Cyclical,Footwear & Accessories,"700 Veterans Memorial Highway Suite 100 Hauppauge, NY 11788 United States",https://forwardindustries.com
FORL,1684243800,Four Leaf Acquisition Corporation,Four Leaf Acquisition Corporati,Financial Services,Shell Companies,"4546 El Camino Real B10 Suite 715 Los Altos, CA 94022 United States",https://www.fourleaf.investment
FORM,1055424600,"FormFactor, Inc.","FormFactor, Inc.",Technology,Semiconductor Equipment & Materials,"7005 Southfront Road Livermore, CA 94551 United States",https://www.formfactor.com
FORR,849105000,"Forrester Research, Inc.","Forrester Research, Inc.",Industrials,Consulting Services,"60 Acorn Park Drive Cambridge, MA 02140 United States",https://www.forrester.com
FOSL,734275800,"Fossil Group, Inc.","Fossil Group, Inc.",Consumer Cyclical,Footwear & Accessories,"901 South Central Expressway Richardson, TX 75080 United States",https://www.fossilgroup.com
